"Suburb_Code","Suburb_Name","Total_15_24_yr"
"20001","Abbeyard",0
"20002","Abbotsford (Vic.)",959
"20003","Aberfeldie",635
"20004","Aberfeldy",0
"20005","Acheron",9
"20006","Ada",0
"20007","Adams Estate",8
"20008","Addington",0
"20009","Adelaide Lead",3
"20010","Agnes",5
"20011","Aire Valley",0
"20012","Aireys Inlet",76
"20013","Airly",16
"20014","Airport West",708
"20015","Albacutya",0
"20016","Albanvale",726
"20017","Albert Park (Vic.)",473
"20018","Alberton (Vic.)",23
"20019","Alberton West",8
"20020","Albion (Vic.)",620
"20021","Alexandra (Vic.)",230
"20022","Alfredton",1306
"20023","Allambee",3
"20024","Allambee Reserve",9
"20025","Allambee South",10
"20026","Allans Flat",39
"20027","Allansford",198
"20028","Allendale",13
"20029","Allestree",14
"20030","Alma (Vic.)",12
"20031","Almonds",0
"20032","Almurta",3
"20033","Alphington",712
"20034","Altona (Vic.)",941
"20035","Altona Meadows",2292
"20036","Altona North",1288
"20037","Alvie",15
"20038","Amherst",4
"20039","Amor",0
"20040","Amphitheatre",25
"20041","Anakie",64
"20042","Ancona",7
"20043","Anderson",3
"20044","Anglers Rest",3
"20045","Anglesea",198
"20046","Annuello",0
"20047","Antwerp",7
"20048","Apollo Bay (Vic.)",137
"20049","Appin (Vic.)",0
"20050","Appin South",0
"20051","Apsley (Vic.)",13
"20052","Ararat",918
"20053","Arawata",8
"20054","Arbuckle",0
"20055","Arcadia (Vic.)",26
"20056","Arcadia South",10
"20057","Archdale",0
"20058","Archdale Junction",0
"20059","Archerton",0
"20060","Archies Creek",0
"20061","Ardeer",343
"20062","Ardmona",59
"20063","Areegra",3
"20064","Argyle (Vic.)",20
"20065","Armadale (Vic.)",1052
"20066","Armstrong",7
"20067","Armstrong Creek (Vic.)",521
"20068","Arnold (Vic.)",5
"20069","Arnold West",3
"20070","Arthurs Creek",66
"20071","Arthurs Seat",26
"20072","Ascot (Ballarat - Vic.)",10
"20073","Ascot (Greater Bendigo - Vic.)",258
"20074","Ascot Vale",1670
"20075","Ashbourne (Vic.)",8
"20076","Ashburton",942
"20077","Ashwood",811
"20078","Aspendale",726
"20079","Aspendale Gardens",979
"20080","Athlone",19
"20081","Attwood",563
"20082","Aubrey",4
"20083","Auchmore",3
"20084","Avalon",62
"20085","Avenel",103
"20086","Avoca (Vic.)",89
"20087","Avon Plains",3
"20088","Avondale Heights",1174
"20089","Avonmore",3
"20090","Avonsleigh",106
"20091","Axe Creek",49
"20092","Axedale",96
"20093","Ayrford",0
"20094","Bacchus Marsh",721
"20095","Baddaginnie",43
"20096","Badger Creek",173
"20097","Bael Bael",0
"20098","Bagshot",27
"20099","Bagshot North",3
"20100","Bahgallah",3
"20101","Bailieston",4
"20102","Bairnsdale",906
"20103","Bakery Hill",40
"20104","Balaclava (Vic.)",566
"20105","Bald Hills (Vic.)",14
"20106","Balintore",4
"20107","Ballan",312
"20108","Ballangeich",4
"20109","Ballapur",0
"20110","Ballarat Central",781
"20111","Ballarat East",741
"20112","Ballarat North",446
"20113","Ballendella",13
"20114","Balliang",29
"20115","Balliang East",5
"20116","Ballyrogan",0
"20117","Balmattum",3
"20118","Balmoral (Vic.)",25
"20119","Balnarring",227
"20120","Balnarring Beach",30
"20121","Balook",0
"20122","Balwyn",2053
"20123","Balwyn North",3266
"20124","Bamawm",54
"20125","Bamawm Extension",23
"20126","Bambra",8
"20127","Bamganie",3
"20128","Bandiana",229
"20129","Bangerang",3
"20130","Bangholme",31
"20131","Bannerton",0
"20132","Bannockburn (Vic.)",610
"20133","Banyan",3
"20134","Banyena",6
"20135","Baranduda",226
"20136","Barfold",11
"20137","Baringhup",11
"20138","Baringhup West",3
"20139","Barjarg",6
"20140","Barkers Creek",45
"20141","Barkly (Vic.)",0
"20142","Barkstead",6
"20143","Barmah",21
"20144","Barnadown",0
"20145","Barnawartha",103
"20146","Barnawartha North",25
"20147","Baromi",18
"20148","Barongarook",49
"20149","Barongarook West",8
"20150","Barrabool",23
"20151","Barrakee",0
"20152","Barramunga",0
"20153","Barraport",0
"20154","Barraport West",0
