SSC_CODE_2016,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Counted_home_Census_Night_Tot,Total_15_24_yr,Total_25_34_yr,Total_Total
SSC20001,0,0,0,0,0,0
SSC20002,909,3013,7769,959,3114,8087
SSC20003,620,349,3770,635,362,3868
SSC20004,0,0,0,0,0,0
SSC20005,5,5,143,9,7,143
SSC20006,0,0,0,0,0,0
SSC20007,8,4,56,8,4,62
SSC20008,0,3,61,0,3,61
SSC20009,5,4,76,3,4,76
SSC20010,5,7,51,5,7,51
SSC20011,0,0,0,0,0,0
SSC20012,61,46,708,76,61,782
SSC20013,9,13,128,16,15,140
SSC20014,682,1186,7250,708,1224,7452
SSC20015,0,0,0,0,0,0
SSC20016,696,804,5322,726,833,5457
SSC20017,454,707,5815,473,741,6028
SSC20018,23,19,238,23,19,241
SSC20019,8,3,73,8,3,72
SSC20020,607,1169,4634,620,1198,4751
SSC20021,209,227,2461,230,243,2575
SSC20022,1236,1046,8699,1306,1104,9013
SSC20023,3,0,19,3,0,20
SSC20024,9,3,93,9,3,94
SSC20025,6,5,72,10,5,74
SSC20026,35,14,299,39,14,308
SSC20027,190,150,1436,198,157,1478
SSC20028,14,13,161,13,9,168
SSC20029,14,11,128,14,13,135
SSC20030,12,14,188,12,13,197
SSC20031,0,3,16,0,3,20
SSC20032,3,5,42,3,5,42
SSC20033,693,728,4846,712,752,4999
SSC20034,905,1389,10346,941,1441,10563
SSC20035,2234,2986,18511,2292,3050,18874
SSC20036,1242,1796,11779,1288,1850,12074
SSC20037,13,12,119,15,12,131
SSC20038,4,3,58,4,3,65
SSC20039,0,0,0,0,0,0
SSC20040,29,13,220,25,13,221
SSC20041,63,42,649,64,42,666
SSC20042,7,0,75,7,3,74
SSC20043,3,3,28,3,3,28
SSC20044,3,0,13,3,0,13
SSC20045,184,186,2284,198,206,2473
SSC20046,0,0,19,0,0,19
SSC20047,11,8,60,7,8,58
SSC20048,118,148,1365,137,183,1580
SSC20049,0,0,11,0,0,11
SSC20050,0,3,29,0,6,29
SSC20051,10,11,254,13,14,269
SSC20052,844,920,7796,918,1025,8275
SSC20053,4,3,75,8,5,79
SSC20054,0,0,0,0,0,0
SSC20055,23,15,210,26,15,217
SSC20056,5,4,64,10,10,74
SSC20057,0,5,25,0,5,25
SSC20058,0,0,6,0,0,6
SSC20059,0,3,17,0,3,16
SSC20060,0,0,16,0,0,16
SSC20061,333,601,2971,343,628,3102
SSC20062,56,65,445,59,77,475
SSC20063,3,0,30,3,0,31
SSC20064,22,11,207,20,14,218
SSC20065,1010,1798,8539,1052,1864,8836
SSC20066,11,6,81,7,6,83
SSC20067,505,1111,4093,521,1137,4175
SSC20068,5,3,47,5,3,48
SSC20069,3,0,22,3,0,26
SSC20070,62,28,470,66,28,477
SSC20071,26,26,355,26,31,365
SSC20072,10,6,94,10,4,97
SSC20073,252,259,1883,258,266,1926
SSC20074,1604,2787,14187,1670,2883,14587
SSC20075,13,3,190,8,7,206
SSC20076,914,716,7439,942,749,7625
SSC20077,793,1049,6645,811,1065,6778
SSC20078,705,686,6598,726,715,6724
SSC20079,964,565,6311,979,574,6420
SSC20080,23,13,122,19,13,128
