SSC_CODE_2016,Uni_Fulltime_15_24_P,Uni_Fulltime_25_ov_P,Uni_Parttime_15_24_P,Uni_Parttime_25_ov_P,Uni_NS_P,Uni_Tot_P,Tot_M,Tot_F,Tot_P
SSC20001,0,0,0,0,0,0,0,0,0
SSC20002,329,255,37,200,3,827,1097,1217,2309
SSC20003,197,26,22,54,0,294,653,680,1336
SSC20004,0,0,0,0,0,0,0,0,0
SSC20005,4,0,0,0,0,3,34,26,60
SSC20006,0,0,0,0,0,0,0,0,0
SSC20007,0,0,0,0,0,0,8,16,25
SSC20008,0,0,0,0,0,0,0,7,12
SSC20009,0,0,0,0,0,0,11,6,21
SSC20010,0,0,0,0,0,0,8,4,7
SSC20011,0,0,0,0,0,0,0,0,0
SSC20012,8,6,0,3,0,19,106,119,231
SSC20013,0,0,0,0,0,3,31,19,49
SSC20014,132,59,16,64,0,272,925,922,1849
SSC20015,0,0,0,0,0,0,0,0,0
SSC20016,140,43,15,26,4,223,866,822,1691
SSC20017,130,46,13,103,3,298,889,908,1801
SSC20018,0,0,0,0,0,5,28,23,55
SSC20019,0,0,0,0,0,0,7,16,22
SSC20020,150,99,11,31,3,294,800,703,1502
SSC20021,15,3,4,12,0,29,328,335,660
SSC20022,243,77,28,110,0,453,1498,1567,3070
SSC20023,3,0,0,0,0,3,4,4,7
SSC20024,0,0,0,0,0,0,26,20,42
SSC20025,0,0,0,0,0,3,8,14,24
SSC20026,0,0,0,3,0,5,49,49,92
SSC20027,6,3,0,0,0,20,228,230,455
SSC20028,0,3,0,0,0,3,20,31,54
SSC20029,0,0,0,0,0,0,15,17,33
SSC20030,0,0,0,0,0,3,33,22,56
SSC20031,0,0,0,0,0,0,5,3,5
SSC20032,0,0,0,0,0,0,8,4,9
SSC20033,208,73,23,108,0,417,772,908,1678
SSC20034,206,103,22,136,3,471,1296,1478,2778
SSC20035,428,153,58,161,4,808,2442,2614,5056
SSC20036,247,69,28,86,3,429,1623,1806,3429
SSC20037,0,0,0,0,0,0,17,23,42
SSC20038,0,0,0,0,0,0,8,10,16
SSC20039,0,0,0,0,0,0,0,0,0
SSC20040,4,0,0,0,0,4,31,28,54
SSC20041,6,0,0,5,0,12,89,105,193
SSC20042,0,0,0,0,0,0,11,12,18
SSC20043,0,0,0,0,0,0,11,8,19
SSC20044,0,0,0,0,0,0,3,3,5
SSC20045,21,12,8,32,0,71,332,309,637
SSC20046,0,0,0,0,0,0,4,3,7
SSC20047,0,0,0,0,0,0,7,3,16
SSC20048,3,9,4,7,0,22,201,190,396
SSC20049,0,0,0,0,0,0,0,0,0
SSC20050,0,0,0,0,0,0,0,0,6
SSC20051,0,0,0,0,0,0,19,20,45
SSC20052,38,21,17,40,3,123,1583,955,2535
SSC20053,0,0,0,0,0,0,7,4,12
SSC20054,0,0,0,0,0,0,0,0,0
SSC20055,0,0,0,0,0,3,34,33,73
SSC20056,0,0,0,0,0,0,12,6,18
SSC20057,0,0,0,0,0,0,0,3,3
SSC20058,0,0,0,0,0,0,3,0,3
SSC20059,0,0,0,0,0,0,0,0,0
SSC20060,0,0,0,0,0,0,5,4,8
SSC20061,66,40,7,26,0,141,439,480,924
SSC20062,9,0,0,0,0,10,97,72,166
SSC20063,0,0,0,0,0,0,5,10,18
SSC20064,3,0,0,0,0,3,23,21,45
SSC20065,382,137,42,161,5,724,1200,1471,2670
SSC20066,0,0,0,3,0,3,11,13,25
SSC20067,101,30,20,66,0,225,606,710,1318
SSC20068,0,0,0,0,0,0,4,0,3
SSC20069,0,0,0,0,0,0,8,3,8
SSC20070,11,0,3,0,0,13,72,88,159
SSC20071,3,0,0,3,0,4,48,63,108
SSC20072,5,0,0,0,0,3,20,16,32
SSC20073,21,0,4,18,0,47,254,305,560
SSC20074,525,277,62,265,3,1132,2245,2438,4683
SSC20075,0,0,0,3,0,8,34,29,60
SSC20076,307,66,34,116,3,530,1343,1294,2634
SSC20077,267,98,29,67,0,460,1074,1159,2235
SSC20078,156,31,24,67,0,283,1039,1088,2125
SSC20079,222,30,19,53,3,334,1020,1003,2025
SSC20080,4,0,0,3,0,3,18,15,35
SSC20081,129,11,18,19,0,176,500,585,1083
SSC20082,0,0,0,0,0,0,4,0,6
SSC20083,0,0,0,0,0,0,0,4,7
SSC20084,9,0,0,3,0,9,73,56,132
SSC20085,3,0,0,6,0,14,159,136,297
SSC20086,3,3,0,5,0,10,150,148,293
SSC20087,0,0,0,0,0,0,0,0,3
SSC20088,298,69,28,74,8,474,1500,1477,2980
SSC20089,0,0,0,0,0,0,0,4,5
SSC20090,14,3,0,6,0,25,148,134,279
SSC20091,5,0,0,0,0,13,69,66,134
SSC20092,4,3,0,6,0,17,127,133,260
SSC20093,0,0,0,0,0,0,4,4,12
SSC20094,83,36,14,48,3,179,834,931,1761
SSC20095,0,3,0,0,0,7,40,39,83
SSC20096,11,7,0,8,0,27,213,214,420
SSC20097,0,0,0,0,0,0,0,4,3
SSC20098,0,0,0,3,0,4,41,48,83
SSC20099,0,0,0,0,0,0,4,3,5
SSC20100,0,0,0,3,0,3,3,3,13
SSC20101,0,0,0,0,0,0,6,12,24
SSC20102,25,18,7,58,0,119,1010,1130,2135
SSC20103,9,0,3,5,0,16,25,30,54
SSC20104,143,129,20,102,0,396,793,808,1606
SSC20105,0,0,0,3,0,3,26,8,33
SSC20106,0,0,0,0,0,0,13,15,26
SSC20107,20,16,4,34,0,76,432,436,866
SSC20108,0,0,0,0,0,0,6,10,19
SSC20109,0,0,0,0,0,0,0,0,0
SSC20110,229,90,21,102,3,446,777,894,1678
SSC20111,109,72,21,83,3,292,730,835,1566
SSC20112,78,37,7,55,0,175,517,559,1077
SSC20113,0,0,0,0,0,0,18,6,24
SSC20114,3,0,0,0,0,8,40,57,96
SSC20115,0,0,0,0,0,0,21,18,37
SSC20116,0,0,0,0,0,0,11,8,21
SSC20117,0,0,0,0,0,0,17,12,30
SSC20118,3,0,0,0,0,6,39,27,67
SSC20119,44,6,6,16,0,71,311,361,680
SSC20120,9,3,0,3,0,17,59,59,119
SSC20121,0,0,0,0,0,0,0,0,0
SSC20122,764,174,75,134,7,1152,2158,2255,4416
SSC20123,1141,185,116,215,10,1669,3695,3556,7248
SSC20124,5,0,0,3,0,9,64,81,146
SSC20125,0,0,0,5,0,3,36,41,74
SSC20126,0,0,0,0,0,0,13,7,23
SSC20127,0,0,0,0,0,0,5,4,9
SSC20128,8,7,0,7,0,21,113,71,184
SSC20129,0,0,0,0,0,3,11,10,19
SSC20130,3,0,0,0,0,8,62,72,135
SSC20131,0,0,0,0,0,0,4,7,14
SSC20132,46,17,8,48,0,118,892,847,1740
SSC20133,0,0,0,0,0,0,5,4,9
SSC20134,0,0,0,0,0,4,3,4,4
SSC20135,17,8,0,32,0,61,370,453,817
SSC20136,5,0,0,0,0,3,18,8,26
SSC20137,3,0,0,3,0,5,27,21,51
SSC20138,0,0,0,0,0,0,0,0,5
SSC20139,3,0,0,0,0,5,9,26,35
SSC20140,7,0,0,4,0,15,65,59,119
SSC20141,0,0,0,0,0,0,3,3,6
SSC20142,0,0,0,0,0,0,10,4,15
SSC20143,0,0,0,0,0,0,43,26,69
SSC20144,0,0,0,0,0,0,6,3,6
