"Suburb_Code","Suburb_Name","Tot_15_24_FtPt"
"20001","Abbeyard",0
"20002","Abbotsford (Vic.)",366
"20003","Aberfeldie",219
"20004","Aberfeldy",0
"20005","Acheron",4
"20006","Ada",0
"20007","Adams Estate",0
"20008","Addington",0
"20009","Adelaide Lead",0
"20010","Agnes",0
"20011","Aire Valley",0
"20012","Aireys Inlet",8
"20013","Airly",0
"20014","Airport West",148
"20015","Albacutya",0
"20016","Albanvale",155
"20017","Albert Park (Vic.)",143
"20018","Alberton (Vic.)",0
"20019","Alberton West",0
"20020","Albion (Vic.)",161
"20021","Alexandra (Vic.)",19
"20022","Alfredton",271
"20023","Allambee",3
"20024","Allambee Reserve",0
"20025","Allambee South",0
"20026","Allans Flat",0
"20027","Allansford",6
"20028","Allendale",0
"20029","Allestree",0
"20030","Alma (Vic.)",0
"20031","Almonds",0
"20032","Almurta",0
"20033","Alphington",231
"20034","Altona (Vic.)",228
"20035","Altona Meadows",486
"20036","Altona North",275
"20037","Alvie",0
"20038","Amherst",0
"20039","Amor",0
"20040","Amphitheatre",4
"20041","Anakie",6
"20042","Ancona",0
"20043","Anderson",0
"20044","Anglers Rest",0
"20045","Anglesea",29
"20046","Annuello",0
"20047","Antwerp",0
"20048","Apollo Bay (Vic.)",7
"20049","Appin (Vic.)",0
"20050","Appin South",0
"20051","Apsley (Vic.)",0
"20052","Ararat",55
"20053","Arawata",0
"20054","Arbuckle",0
"20055","Arcadia (Vic.)",0
"20056","Arcadia South",0
"20057","Archdale",0
"20058","Archdale Junction",0
"20059","Archerton",0
"20060","Archies Creek",0
"20061","Ardeer",73
"20062","Ardmona",9
"20063","Areegra",0
"20064","Argyle (Vic.)",3
"20065","Armadale (Vic.)",424
"20066","Armstrong",0
"20067","Armstrong Creek (Vic.)",121
"20068","Arnold (Vic.)",0
"20069","Arnold West",0
"20070","Arthurs Creek",14
"20071","Arthurs Seat",3
"20072","Ascot (Ballarat - Vic.)",5
"20073","Ascot (Greater Bendigo - Vic.)",25
"20074","Ascot Vale",587
"20075","Ashbourne (Vic.)",0
"20076","Ashburton",341
"20077","Ashwood",296
"20078","Aspendale",180
"20079","Aspendale Gardens",241
"20080","Athlone",4
"20081","Attwood",147
"20082","Aubrey",0
"20083","Auchmore",0
"20084","Avalon",9
"20085","Avenel",3
"20086","Avoca (Vic.)",3
"20087","Avon Plains",0
"20088","Avondale Heights",326
"20089","Avonmore",0
"20090","Avonsleigh",14
"20091","Axe Creek",5
"20092","Axedale",4
"20093","Ayrford",0
"20094","Bacchus Marsh",97
"20095","Baddaginnie",0
"20096","Badger Creek",11
"20097","Bael Bael",0
"20098","Bagshot",0
"20099","Bagshot North",0
"20100","Bahgallah",0
"20101","Bailieston",0
"20102","Bairnsdale",32
"20103","Bakery Hill",12
"20104","Balaclava (Vic.)",163
"20105","Bald Hills (Vic.)",0
"20106","Balintore",0
"20107","Ballan",24
"20108","Ballangeich",0
"20109","Ballapur",0
"20110","Ballarat Central",250
"20111","Ballarat East",130
"20112","Ballarat North",85
"20113","Ballendella",0
"20114","Balliang",3
"20115","Balliang East",0
"20116","Ballyrogan",0
"20117","Balmattum",0
"20118","Balmoral (Vic.)",3
"20119","Balnarring",50
"20120","Balnarring Beach",9
"20121","Balook",0
"20122","Balwyn",839
"20123","Balwyn North",1257
"20124","Bamawm",5
"20125","Bamawm Extension",0
"20126","Bambra",0
"20127","Bamganie",0
"20128","Bandiana",8
"20129","Bangerang",0
"20130","Bangholme",3
"20131","Bannerton",0
"20132","Bannockburn (Vic.)",54
"20133","Banyan",0
"20134","Banyena",0
"20135","Baranduda",17
"20136","Barfold",5
"20137","Baringhup",3
"20138","Baringhup West",0
"20139","Barjarg",3
"20140","Barkers Creek",7
"20141","Barkly (Vic.)",0
"20142","Barkstead",0
"20143","Barmah",0
"20144","Barnadown",0
"20145","Barnawartha",9
"20146","Barnawartha North",0
"20147","Baromi",0
"20148","Barongarook",6
"20149","Barongarook West",0
"20150","Barrabool",3
"20151","Barrakee",0
"20152","Barramunga",0
"20153","Barraport",0
"20154","Barraport West",0
"20155","Barrys Reef",0
"20156","Barunah Park",0
"20157","Barunah Plains",0
"20158","Barwidgee",0
"20159","Barwite",0
"20160","Barwon Downs",0
"20161","Barwon Heads",71
"20162","Basalt (Vic.)",0
"20163","Bass",0
"20164","Batesford",28
"20165","Bathumi",0
"20166","Baw Baw (Vic.)",0
